date_found,company,title,location,url,source,posted_at,active,match_score
2026-08-27,Fujitsu,Technical Consultant,"Bangalore, Karnataka",https://www.adzuna.in/details/5796406322,adzuna,2026-07-11,yes,
2026-08-27,Fictiv Technology Solutions,"Customer Project Coordinator, Manufacturing","Bangalore, Karnataka",https://www.adzuna.in/details/5850377293,adzuna,2026-08-21,yes,
2026-08-27,Emerson,Project Manager,"Noida, Ghaziabad",https://www.adzuna.in/details/5838454741,adzuna,2026-08-12,yes,
2026-08-27,Effisense Consulting,MEP Project Manager,"Noida, Ghaziabad",https://www.adzuna.in/land/ad/5849577558,adzuna,2026-08-20,yes,
2026-08-27,DotKonnekt,AI Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5856665243,adzuna,2026-08-26,yes,
2026-08-27,Danaher,Project Manager II,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5846723495,adzuna,2026-08-18,yes,
2026-08-27,Capco,Technical Project Manager with Cloud Migration Experience,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5857251214,adzuna,2026-08-27,yes,
2026-08-27,Capco,Senior Business Analysis - Sr Business Analyst - BNPP - Paribas,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5857251124,adzuna,2026-08-27,yes,
2026-08-27,Beyond Border Consultants,Solar Project Coordinator (Mega 80 MW),"Noida, Ghaziabad",https://www.adzuna.in/details/5856167928,adzuna,2026-08-26,yes,
2026-08-27,Artech Infosystems Private Limited,Client services project coordinator,"Bangalore, Karnataka",https://www.adzuna.in/details/5842617048,adzuna,2026-08-15,yes,
2026-08-27,Amadeus,Implementation-Project Principal Specialist,"Bangalore, Karnataka",https://www.adzuna.in/details/5793316147,adzuna,2026-07-09,yes,
2026-08-26,atkinsrealis,Project Coordinator,"Bangalore, Karnataka",https://www.adzuna.in/details/5856198200,adzuna,2026-08-26,yes,
2026-08-26,Zenoti,Sr. Product Specialist - Implementation/Onboarding,"Hyderabad, Telangana, India",https://job-boards.greenhouse.io/zenoti/jobs/7772757003,greenhouse,2026-08-25,yes,
2026-08-26,The Artful Abode X Aristo Atelier,Interior Design Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5855234865,adzuna,2026-08-25,yes,
2026-08-26,LTM,Senior Specialist - Package Implementation,"Bangalore, Karnataka",https://www.adzuna.in/details/5856198132,adzuna,2026-08-26,yes,
2026-08-26,Infosys Limited,CISNGE - ServiceNow Consultant - JL5,"Bangalore, Karnataka",https://www.adzuna.in/details/5856198119,adzuna,2026-08-26,yes,
2026-08-26,Curefit,Project Manager,"Delhi, India",https://www.adzuna.in/land/ad/5855233781,adzuna,2026-08-25,yes,
2026-08-26,Aereka,Graduate Management Trainee (GMT) – Project Management & Operations,"Noida, Ghaziabad",https://www.adzuna.in/land/ad/5855233771,adzuna,2026-08-25,yes,
2026-08-26,2gethr,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5829060795,adzuna,2026-08-05,yes,
2026-08-25,WSP,Senior Consultant - Project Management,"Noida, Ghaziabad",https://www.adzuna.in/details/5801758752,adzuna,2026-07-16,yes,
2026-08-25,RxLogix Corporation,"Project Manager, Engineering","Noida, Ghaziabad",https://www.adzuna.in/details/5854880721,adzuna,2026-08-25,yes,
2026-08-25,Rentomojo,Capex / Project Manager — Warehouse Setup & Execution,"Delhi, India",https://www.adzuna.in/details/5850345216,adzuna,2026-08-21,yes,
2026-08-25,Razorpay,Senior Solutions Consultant,Bengaluru,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4726829005,greenhouse,2026-08-24,yes,
2026-08-25,Path Solutions,Business Consultant - Financing,"Bangalore, Karnataka",https://www.adzuna.in/details/5854880883,adzuna,2026-08-25,yes,
2026-08-25,HCLTech,Oracle Unifier(Project Manager) - Dubai Onsite,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5854365671,adzuna,2026-08-24,yes,
2026-08-25,Apex 2000,Business Analyst,"Bangalore, Karnataka",https://www.adzuna.in/details/5854880424,adzuna,2026-08-25,yes,
2026-08-24,WSP USA,Associate- Project Management,"Noida, Ghaziabad",https://www.adzuna.in/details/5839601892,adzuna,2026-08-13,yes,
2026-08-24,WSP,Consultant - Project Management,"Noida, Ghaziabad",https://www.adzuna.in/details/5841924628,adzuna,2026-08-14,yes,
2026-08-24,WSP,Principal Project Manager,"Noida, Ghaziabad",https://www.adzuna.in/details/5776793209,adzuna,2026-06-26,yes,
2026-08-24,WSP,Team Leader- Project Management,"Noida, Ghaziabad",https://www.adzuna.in/details/5843154850,adzuna,2026-08-15,yes,
2026-08-24,Vymo,Senior Technical Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5853825091,adzuna,2026-08-23,yes,
2026-08-24,Kaspersky,Customer Success Project Manager,"Delhi, India",https://www.adzuna.in/land/ad/5847167468,adzuna,2026-08-19,yes,
2026-08-24,Entasis Global,Project Manager - Interiors & Fit Outs in Retail Industry,"Delhi, India",https://www.adzuna.in/land/ad/5853619773,adzuna,2026-08-23,yes,
2026-08-24,Brighter India,Technical Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5853824354,adzuna,2026-08-23,yes,
2026-08-24,Beyond Border Consultants,Solar Project Coordinator (Mega 80 MW),"Noida, Ghaziabad",https://www.adzuna.in/details/5854074775,adzuna,2026-08-24,yes,
2026-08-24,Aristocrat,Project Coordinator,"Noida, Ghaziabad",https://www.adzuna.in/land/ad/5841509274,adzuna,2026-08-14,yes,
2026-08-23,WSP,Associate- Project Management,"Noida, Ghaziabad",https://www.adzuna.in/details/5840391171,adzuna,2026-08-13,yes,
2026-08-23,WSP,"Principal Consultant, Project Management","Noida, Ghaziabad",https://www.adzuna.in/details/5796193916,adzuna,2026-07-11,yes,
